GEOID	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                       
21664	539	236	1121671	69471	       0.433	       0.027	 38.607081	 -75.944694                                                                                                                            
21665	287	195	10578736	12869134	       4.084	       4.969	 38.751800	 -76.332597                                                                                                                        
21666	12309	5085	57244987	27776801	      22.102	      10.725	 38.939333	 -76.337531                                                                                                                     
21667	310	155	15242720	1468368	       5.885	       0.567	 39.350621	 -76.042108                                                                                                                         
21668	1904	785	128608031	69190	      49.656	       0.027	 39.191191	 -75.853000                                                                                                                         
21669	229	228	32129918	16008339	      12.405	       6.181	 38.460081	 -76.285161                                                                                                                        
21671	756	619	5472625	8925148	       2.113	       3.446	 38.695574	 -76.335128                                                                                                                          
21672	241	216	24966397	7552147	       9.640	       2.916	 38.271699	 -76.052704                                                                                                                         
21673	3136	1456	133831191	43105240	      51.673	      16.643	 38.642513	 -76.043478                                                                                                                     
21675	105	103	8431831	1929985	       3.256	       0.745	 38.288979	 -76.089600                                                                                                                          
21676	398	260	16266947	20862861	       6.281	       8.055	 38.773206	 -76.353189                                                                                                                        
21677	440	248	24178723	6875314	       9.335	       2.655	 38.472684	 -76.173233                                                                                                                         
21678	2301	1144	97300721	12587823	      37.568	       4.860	 39.313279	 -76.112300                                                                                                                      
21679	483	189	23175647	890864	       8.948	       0.344	 38.913777	 -76.091617                                                                                                                          
21701	35293	15847	100783138	1751826	      38.913	       0.676	 39.443550	 -77.332940                                                                                                                    
21702	38847	15617	104655311	282970	      40.408	       0.109	 39.479827	 -77.455987                                                                                                                     
21703	32854	12772	86136850	106575	      33.258	       0.041	 39.367031	 -77.473482                                                                                                                      
21704	13321	4439	67773106	547647	      26.167	       0.211	 39.354763	 -77.375659                                                                                                                       
21705	8	0	61289	0	       0.024	       0.000	 39.408860	 -77.410008                                                                                                                                      
21710	4515	1710	66189037	1147935	      25.556	       0.443	 39.297082	 -77.448302                                                                                                                       
21711	1029	418	61780568	1768548	      23.854	       0.683	 39.668396	 -78.019569                                                                                                                        
21713	9502	3769	109393375	158957	      42.237	       0.061	 39.529573	 -77.675498                                                                                                                       
21714	99	61	74855	0	       0.029	       0.000	 39.419295	 -77.504419                                                                                                                                    
21716	4885	2054	8365222	1745950	       3.230	       0.674	 39.314453	 -77.620019                                                                                                                        
21717	54	25	950042	10584	       0.367	       0.004	 39.336876	 -77.435959                                                                                                                               
21718	151	74	1175291	10427	       0.454	       0.004	 39.393346	 -77.627767                                                                                                                             
21719	1548	660	8705488	68393	       3.361	       0.026	 39.707956	 -77.494228                                                                                                                           
21722	5545	2186	153722385	3368086	      59.353	       1.300	 39.662213	 -77.920752                                                                                                                      
21723	803	252	7900647	82192	       3.050	       0.032	 39.329124	 -77.002556                                                                                                                            
21727	5850	1811	82894708	531553	      32.006	       0.205	 39.688635	 -77.329234                                                                                                                        
21733	1163	428	15657081	0	       6.045	       0.000	 39.549302	 -77.758485                                                                                                                              
21734	771	392	585226	0	       0.226	       0.000	 39.607817	 -77.707835                                                                                                                                 
21737	1458	466	13133861	139115	       5.071	       0.054	 39.249219	 -77.026665                                                                                                                         
21738	3268	1062	18881608	104336	       7.290	       0.040	 39.279844	 -77.026706                                                                                                                        
21740	61859	25858	180896936	758184	      69.845	       0.293	 39.631916	 -77.743611                                                                                                                     
21742	31444	13555	130689423	73363	      50.459	       0.028	 39.678217	 -77.652688                                                                                                                      
21746	1883	0	932545	0	       0.360	       0.000	 39.565064	 -77.711467                                                                                                                                  
21750	3766	1779	156366138	4206866	      60.373	       1.624	 39.685043	 -78.212939                                                                                                                      
21754	6323	2198	61427395	105853	      23.717	       0.041	 39.332124	 -77.316215                                                                                                                        
21755	5591	2103	89210936	1622831	      34.445	       0.627	 39.359655	 -77.568128                                                                                                                       
21756	3612	1340	54112474	28102	      20.893	       0.011	 39.462722	 -77.704030                                                                                                                         
21757	3036	1170	97513958	199030	      37.650	       0.077	 39.591574	 -77.268169                                                                                                                        
21758	4921	1882	83996318	6288252	      32.431	       2.428	 39.353204	 -77.656816                                                                                                                       
21762	249	100	952882	0	       0.368	       0.000	 39.480830	 -77.247089                                                                                                                                 
21766	700	396	97905209	2256741	      37.801	       0.871	 39.670471	 -78.387890                                                                                                                         
21767	991	463	737107	0	       0.285	       0.000	 39.697132	 -77.747473                                                                                                                                 
21769	11236	4149	105626341	746756	      40.783	       0.288	 39.442447	 -77.568912                                                                                                                      
21770	5164	1780	28486330	27444	      10.999	       0.011	 39.350196	 -77.256234                                                                                                                         
21771	29563	10200	220312876	443148	      85.063	       0.171	 39.394652	 -77.163984                                                                                                                     
21773	5460	2080	100274686	227721	      38.716	       0.088	 39.542575	 -77.551713                                                                                                                       
21774	11662	4073	37289821	668023	      14.398	       0.258	 39.407766	 -77.268422                                                                                                                       
21776	5735	2159	91194849	299382	      35.211	       0.116	 39.517975	 -77.099688                                                                                                                        
